#[Manufacturer],[Hostname],[Delta t],[Date],[Mode],[File Version],"Rules:
Choose closest ms value to stapwatch time
If tie choose bigger value
if more than 10ms away dont fill in the value",
Thorlabs,PM5020_5E,10 ms,2026-07-30 22:56:56,CW,1,,
,,,,,,,
#[Ch],[Name],[Serial],[Type],[Wavelength],[Range],[Attenuation],[Unit]
0,S425C-L,1932731,Thermopile,1064 nm,auto,0 dB,W
1,S120VC,230131112,Photodiode,1064 nm,auto,0 dB,W
,,,,,,,
#[ms],[Ch: 1],[Ch: 2],#[meter],,,,
8453620,1.09E+00,4.95E-04,0.348,,,,
8456699,1.09E+00,4.96E-04,0.347,,,,
8460250,1.09E+00,4.96E-04,0.346,,,,
8463360,1.09E+00,4.96E-04,0.345,,,,
8466720,1.09E+00,4.96E-04,0.344,,,,
8470280,1.09E+00,4.95E-04,0.343,,,,
8473210,1.09E+00,4.96E-04,0.342,,,,
8476659,1.09E+00,4.95E-04,0.341,,,,
8480439,1.09E+00,4.96E-04,0.34,,,,
8486020,1.09E+00,4.96E-04,0.339,,,,
8489970,1.09E+00,4.95E-04,0.338,,,,
8493170,1.09E+00,4.95E-04,0.337,,,,
8496400,1.09E+00,4.95E-04,0.336,,,,
8499520,1.09E+00,4.96E-04,0.335,,,,
8503050,1.09E+00,4.95E-04,0.334,,,,
8506390,1.09E+00,4.95E-04,0.333,,,,
8510600,1.09E+00,4.95E-04,0.332,,,,
8513760,1.09E+00,4.95E-04,0.331,,,,
8516410,1.09E+00,4.95E-04,0.33,,,,
8520270,1.09E+00,4.95E-04,0.329,,,,
8523920,1.09E+00,4.94E-04,0.328,,,,
8528020,1.09E+00,4.94E-04,0.327,,,,
8531830,1.09E+00,4.95E-04,0.326,,,,
8536230,1.09E+00,4.94E-04,0.325,,,,
8539240,1.09E+00,4.95E-04,0.324,,,,
8545550,1.09E+00,4.94E-04,0.323,,,,
8550220,1.09E+00,4.94E-04,0.322,,,,
8553560,1.09E+00,4.94E-04,0.321,,,,
8556530,1.09E+00,4.94E-04,0.32,,,,
8559610,1.09E+00,4.94E-04,0.319,,,,
8563610,1.09E+00,4.94E-04,0.318,,,,
8567450,1.09E+00,4.93E-04,0.317,,,,
8571260,1.09E+00,4.93E-04,0.316,,,,
8574140,1.09E+00,4.94E-04,0.315,,,,
8579600,1.09E+00,4.93E-04,0.314,,,,
8582850,1.09E+00,4.92E-04,0.313,,,,
8589360,1.09E+00,4.93E-04,0.312,,,,
8596680,1.09E+00,4.92E-04,0.311,,,,
8601020,1.09E+00,4.91E-04,0.31,,,,
8605350,1.09E+00,4.90E-04,0.309,,,,
8608010,1.09E+00,4.91E-04,0.308,,,,
8611240,1.09E+00,4.92E-04,0.307,,,,
8614840,1.09E+00,4.91E-04,0.306,,,,
8618590,1.09E+00,4.91E-04,0.305,,,,
8626720,1.09E+00,4.90E-04,0.304,,,,
8630120,1.09E+00,4.89E-04,0.303,,,,
8633520,1.09E+00,4.89E-04,0.302,,,,
8635999,1.09E+00,4.91E-04,0.301,,,,
