Power (mW),Distance (mm),Ambient power,Power (mW)  filtered,
4.81E-04,0.044,1.08E+00,4.44E-04,avg at 0.05
4.80E-04,0.043,1.07E+00,4.48E-04,avg at 0.05
4.83E-04,0.042,1.07E+00,4.50E-04,****
4.83E-04,0.041,1.08E+00,4.48E-04,avg at 0.05
4.98E-04,0.04,1.08E+00,4.61E-04,avg at 0.05
4.99E-04,0.039,1.08E+00,4.61E-04,avg at 0.05
4.89E-04,0.037,1.09E+00,4.48E-04,avg at 0.05
4.91E-04,0.036,1.09E+00,4.49E-04,avg at 0.05
4.92E-04,0.035,1.10E+00,4.49E-04,avg at 0.05
4.90E-04,0.034,1.09E+00,4.48E-04,avg at 0.05
4.89E-04,0.033,1.09E+00,4.49E-04,avg at 0.05
4.89E-04,0.032,1.08E+00,4.53E-04,avg at 0.05
4.87E-04,0.03,1.09E+00,4.49E-04,avg at 0.05
4.95E-04,0.029,1.09E+00,4.55E-04,avg at 0.05
4.88E-04,0.028,1.09E+00,4.50E-04,avg at 0.05
4.92E-04,0.027,1.09E+00,4.50E-04,avg at 0.05
4.92E-04,0.026,1.10E+00,4.49E-04,avg at 0.05
4.94E-04,0.025,1.10E+00,4.50E-04,avg at 0.05
4.96E-04,0.024,1.10E+00,4.49E-04,avg at 0.05
4.86E-04,0.022,1.07E+00,4.54E-04,avg at 0.05
4.98E-04,0.021,1.07E+00,4.67E-04,****
4.83E-04,0.019,1.06E+00,4.55E-04,avg at 0.05
4.85E-04,0.018,1.07E+00,4.53E-04,avg at 0.05
4.86E-04,0.017,1.08E+00,4.49E-04,avg at 0.05
4.93E-04,0.016,1.08E+00,4.57E-04,****
4.91E-04,0.015,1.08E+00,4.55E-04,avg at 0.05
4.91E-04,0.014,1.09E+00,4.50E-04,avg at 0.05
4.92E-04,0.013,1.09E+00,4.51E-04,avg at 0.05
4.94E-04,0.012,1.09E+00,4.53E-04,avg at 0.05
4.91E-04,0.011,1.09E+00,4.51E-04,avg at 0.05
4.92E-04,0.01,1.08E+00,4.55E-04,avg at 0.05
4.99E-04,0.009,1.09E+00,4.57E-04,avg at 0.05
4.88E-04,0.008,1.09E+00,4.49E-04,avg at 0.05
